date,amount,category,description
20-07-2024,125.65,Income,Salary
18-07-2024,800.0,Expense,Fucking Germany
10-07-2024,30.0,Expense,Shopping
15-07-2024,50.75,Expense,Groceries
14-07-2024,200.00,Expense,Utilities
13-07-2024,150.50,Expense,Transport
12-07-2024,60.30,Expense,Entertainment
11-07-2024,300.00,Income,Freelance Work
09-07-2024,25.00,Expense,Internet
08-07-2024,45.60,Expense,Restaurant
07-07-2024,100.00,Income,Gifts
06-07-2024,80.00,Expense,Clothing
05-07-2024,120.00,Income,Investment
04-07-2024,40.00,Expense,Health
03-07-2024,70.00,Expense,Travel
02-07-2024,150.00,Income,Bonus
01-07-2024,35.00,Expense,Books
30-06-2024,90.00,Expense,Gas
29-06-2024,110.00,Income,Dividends
29-07-2024,530.0,Income,Mini Job
31-03-2024,120.50,Income,Freelance
30-03-2024,45.00,Expense,Groceries
29-03-2024,80.00,Expense,Utilities
28-03-2024,25.00,Expense,Internet
27-03-2024,50.00,Expense,Transportation
26-03-2024,60.00,Income,Dividends
25-03-2024,70.00,Expense,Shopping
24-03-2024,100.00,Income,Gifts
23-03-2024,150.00,Expense,Rent
22-03-2024,30.00,Expense,Books
21-03-2024,200.00,Income,Salary
20-03-2024,40.00,Expense,Health
19-03-2024,60.00,Expense,Entertainment
18-03-2024,75.00,Expense,Restaurant
17-03-2024,50.00,Expense,Utilities
16-03-2024,80.00,Income,Investment
15-03-2024,100.00,Expense,Clothing
14-03-2024,45.00,Expense,Gas
13-03-2024,60.00,Expense,Internet
12-03-2024,200.00,Income,Freelance
11-03-2024,75.00,Expense,Travel
10-03-2024,150.00,Expense,Rent
09-03-2024,25.00,Expense,Books
08-03-2024,80.00,Income,Investment
07-03-2024,60.00,Expense,Entertainment
06-03-2024,40.00,Expense,Health
05-03-2024,50.00,Expense,Groceries
04-03-2024,120.00,Income,Dividends
03-03-2024,100.00,Expense,Clothing
02-03-2024,60.00,Expense,Transport
01-03-2024,75.00,Income,Gifts

30-04-2024,125.00,Income,Freelance
29-04-2024,45.00,Expense,Groceries
28-04-2024,80.00,Expense,Utilities
27-04-2024,25.00,Expense,Internet
26-04-2024,50.00,Expense,Transportation
25-04-2024,60.00,Income,Dividends
24-04-2024,70.00,Expense,Shopping
23-04-2024,100.00,Income,Gifts
22-04-2024,150.00,Expense,Rent
21-04-2024,30.00,Expense,Books
20-04-2024,200.00,Income,Salary
19-04-2024,40.00,Expense,Health
18-04-2024,60.00,Expense,Entertainment
17-04-2024,75.00,Expense,Restaurant
16-04-2024,50.00,Expense,Utilities
15-04-2024,80.00,Income,Investment
14-04-2024,100.00,Expense,Clothing
13-04-2024,45.00,Expense,Gas
12-04-2024,60.00,Expense,Internet
11-04-2024,200.00,Income,Freelance
10-04-2024,75.00,Expense,Travel
09-04-2024,150.00,Expense,Rent
08-04-2024,25.00,Expense,Books
07-04-2024,80.00,Income,Investment
06-04-2024,60.00,Expense,Entertainment
05-04-2024,40.00,Expense,Health
04-04-2024,50.00,Expense,Groceries
03-04-2024,120.00,Income,Dividends
02-04-2024,100.00,Expense,Clothing
01-04-2024,60.00,Expense,Transport

31-05-2024,120.50,Income,Freelance
30-05-2024,45.00,Expense,Groceries
29-05-2024,80.00,Expense,Utilities
28-05-2024,25.00,Expense,Internet
27-05-2024,50.00,Expense,Transportation
26-05-2024,60.00,Income,Dividends
25-05-2024,70.00,Expense,Shopping
24-05-2024,100.00,Income,Gifts
23-05-2024,150.00,Expense,Rent
22-05-2024,30.00,Expense,Books
21-05-2024,200.00,Income,Salary
20-05-2024,40.00,Expense,Health
19-05-2024,60.00,Expense,Entertainment
18-05-2024,75.00,Expense,Restaurant
17-05-2024,50.00,Expense,Utilities
16-05-2024,80.00,Income,Investment
15-05-2024,100.00,Expense,Clothing
14-05-2024,45.00,Expense,Gas
13-05-2024,60.00,Expense,Internet
12-05-2024,200.00,Income,Freelance
11-05-2024,75.00,Expense,Travel
10-05-2024,150.00,Expense,Rent
09-05-2024,25.00,Expense,Books
08-05-2024,80.00,Income,Investment
07-05-2024,60.00,Expense,Entertainment
06-05-2024,40.00,Expense,Health
05-05-2024,50.00,Expense,Groceries
04-05-2024,120.00,Income,Dividends
03-05-2024,100.00,Expense,Clothing
02-05-2024,60.00,Expense,Transport
01-05-2024,75.00,Income,Gifts

30-06-2024,120.50,Income,Freelance
29-06-2024,45.00,Expense,Groceries
28-06-2024,80.00,Expense,Utilities
27-06-2024,25.00,Expense,Internet
26-06-2024,50.00,Expense,Transportation
25-06-2024,60.00,Income,Dividends
24-06-2024,70.00,Expense,Shopping
23-06-2024,100.00,Income,Gifts
22-06-2024,150.00,Expense,Rent
21-06-2024,30.00,Expense,Books
20-06-2024,200.00,Income,Salary
19-06-2024,40.00,Expense,Health
18-06-2024,60.00,Expense,Entertainment
17-06-2024,75.00,Expense,Restaurant
16-06-2024,50.00,Expense,Utilities
15-06-2024,80.00,Income,Investment
14-06-2024,100.00,Expense,Clothing
13-06-2024,45.00,Expense,Gas
12-06-2024,60.00,Expense,Internet
11-06-2024,200.00,Income,Freelance
10-06-2024,75.00,Expense,Travel
09-06-2024,150.00,Expense,Rent
08-06-2024,25.00,Expense,Books
07-06-2024,80.00,Income,Investment
06-06-2024,60.00,Expense,Entertainment
05-06-2024,40.00,Expense,Health
04-06-2024,50.00,Expense,Groceries
03-06-2024,120.00,Income,Dividends
02-06-2024,100.00,Expense,Clothing
01-06-2024,60.00,Expense,Transport
01-03-2025,500.0,Income,Stuff
11-07-2024,30.0,Income,Work
